cycle_number,cell_number,capacity
0,Cell1,0.7391109210621779
100,Cell1,0.7301929494056871
200,Cell1,0.7257467375962049
300,Cell1,0.7228431973239305
400,Cell1,0.7183668958430143
500,Cell1,0.7149787006955093
600,Cell1,0.7116204053941345
700,Cell1,0.7095321170323996
800,Cell1,0.7058480111354505
900,Cell1,0.7025449768529222
1000,Cell1,0.6994156477527363
1100,Cell1,0.6962835912151658
1200,Cell1,0.6932672854322546
1300,Cell1,0.6903687943593547
1400,Cell1,0.6876192406848993
1500,Cell1,0.684722778071479
1600,Cell1,0.6818263154580586
1700,Cell1,0.6788567212448611
1800,Cell1,0.6758871270316636
1900,Cell1,0.6727432856431239
2000,Cell1,0.6697317983178508
2100,Cell1,0.6674184829442038
2200,Cell1,0.6639526202195469
2300,Cell1,0.6614396086354981
2400,Cell1,0.6582324497447104
2500,Cell1,0.6563019662937012
2600,Cell1,0.6527810452742546
2700,Cell1,0.651274269703515
2800,Cell1,0.6488501025188361
2900,Cell1,0.6450218397585212
3000,Cell1,0.6441689847636143
3100,Cell1,0.6420891597582703
3200,Cell1,0.6387729233128966
3300,Cell1,0.6378192441609972
3400,Cell1,0.6350111310671828
3500,Cell1,0.6322030179733683
3600,Cell1,0.6317444982024536
3700,Cell1,0.6295202834064333
3800,Cell1,0.6254908168324311
3900,Cell1,0.625258308828447
4000,Cell1,0.6235531647570597
4100,Cell1,0.6204774481988763
4200,Cell1,0.6195186640586242
4300,Cell1,0.6176078318476869
4400,Cell1,0.6157261856172588
4500,Cell1,0.6127444427379217
4600,Cell1,0.612349611637397
4700,Cell1,0.6106132282398342
4800,Cell1,0.6088768448422716
4900,Cell1,0.6065818924952121
5000,Cell1,0.6042869401481527
5100,Cell1,0.6032069763171048
5200,Cell1,0.5998239008415256
5300,Cell1,0.5998621534882067
5400,Cell1,0.5981587016015489
5500,Cell1,0.5942801484523484
5600,Cell1,0.5944675726175096
5700,Cell1,0.592857351306983
5800,Cell1,0.5904253670448166
5900,Cell1,0.5894471143131172
6000,Cell1,0.5881173065952116
6100,Cell1,0.5855603691386313
6200,Cell1,0.5857463794615072
6300,Cell1,0.5841518310216064
6400,Cell1,0.5812757619596863
6500,Cell1,0.5816547783101196
6600,Cell1,0.5800334389678039
6700,Cell1,0.5776338801898363
6800,Cell1,0.5775893924134589
6900,Cell1,0.576416770813853
7000,Cell1,0.5730979789577467
7100,Cell1,0.5730979789577467
7200,Cell1,0.5749714659926826
7300,Cell1,0.5720375640082297
7400,Cell1,0.570436583787218
7500,Cell1,0.5682678595139941
7600,Cell1,0.5677929103307428
7700,Cell1,0.5667532309264086
7800,Cell1,0.5642265724626601
7900,Cell1,0.5643176975749817
8000,Cell1,0.5630464545433012
8100,Cell1,0.5600135969052836
8200,Cell1,0.5606495828680589
0,Cell2,0.7348189656975843
100,Cell2,0.7266220579061855
200,Cell2,0.7221571400208163
300,Cell2,0.7192156200035367
400,Cell2,0.7145823074647996
500,Cell2,0.7111216758331502
600,Cell2,0.7080616104027846
700,Cell2,0.7054509534216545
800,Cell2,0.7019102314870742
900,Cell2,0.6992549903478054
1000,Cell2,0.6966637550136685
1100,Cell2,0.6939847933360154
1200,Cell2,0.6912011130181581
1300,Cell2,0.6882824454375679
1400,Cell2,0.6854468687684393
1500,Cell2,0.6824789450883687
1600,Cell2,0.6795110214082981
1700,Cell2,0.6767582335093909
1800,Cell2,0.6740054456104837
1900,Cell2,0.6706497832609933
2000,Cell2,0.6673525808571167
2100,Cell2,0.6652355876842753
2200,Cell2,0.6615433404840155
2300,Cell2,0.6597519802009176
2400,Cell2,0.6562873914063992
2500,Cell2,0.6546501051945632
2600,Cell2,0.6503893528573779
2700,Cell2,0.6496653133077699
2800,Cell2,0.6471329168947415
2900,Cell2,0.6421348249865453
3000,Cell2,0.6417052831471693
3100,Cell2,0.6389952205493706
3200,Cell2,0.6349703545346578
3300,Cell2,0.6342086228227167
3400,Cell2,0.6309567502626123
3500,Cell2,0.6277048777025079
3600,Cell2,0.6281200744890406
3700,Cell2,0.6261354826394687
3800,Cell2,0.6211583132684733
3900,Cell2,0.6214628930235764
4000,Cell2,0.6195183548363004
4100,Cell2,0.6155350095355564
4200,Cell2,0.614882118484026
4300,Cell2,0.6128973459219055
4400,Cell2,0.6109128049558445
4500,Cell2,0.6072824549141099
4600,Cell2,0.6069661398070711
4700,Cell2,0.6051277329174702
4800,Cell2,0.6032893260278693
4900,Cell2,0.5844927391605088
5000,Cell2,0.5656961522931484
5100,Cell2,0.5779189479132827
5200,Cell2,0.5754802012975294
5300,Cell2,0.5808788758005541
5400,Cell2,0.5810260227335511
5500,Cell2,0.5759512937736342
5600,Cell2,0.5788701634543729
5700,Cell2,0.5780391777470296
5800,Cell2,0.575294154472195
5900,Cell2,0.5746726428197767
6000,Cell2,0.5730003167713386
6100,Cell2,0.567463746839281
6200,Cell2,0.5704755641019321
6300,Cell2,0.5688010284364555
6400,Cell2,0.5627251821399774
6500,Cell2,0.5657941735212776
6600,Cell2,0.5638357095455017
6700,Cell2,0.5614334759774203
6800,Cell2,0.5640030095218641
6900,Cell2,0.5621277485994194
7000,Cell2,0.5562119202810296
7100,Cell2,0.5563346788557026
7200,Cell2,0.556887525681366
7300,Cell2,0.5571166198494262
7400,Cell2,0.5014350458651226
7500,Cell2,0.562233702061415
7600,Cell2,0.5586320678634678
7700,Cell2,0.544914770679986
0,Cell3,0.735119595112905
100,Cell3,0.7266872270437655
200,Cell3,0.7227328355075854
300,Cell3,0.7202066836195169
400,Cell3,0.7160503279000582
500,Cell3,0.7130840304729683
600,Cell3,0.7100583119725138
700,Cell3,0.7085077117739089
800,Cell3,0.7055725275613336
900,Cell3,0.7032127351410794
1000,Cell3,0.7008922491815016
1100,Cell3,0.698670302850613
1200,Cell3,0.6963460284543626
1300,Cell3,0.6939320435294495
1400,Cell3,0.6914782753365478
1500,Cell3,0.6889411257196298
1600,Cell3,0.6864039761027119
1700,Cell3,0.6837651994129079
1800,Cell3,0.681126422723104
1900,Cell3,0.6782317768750306
2000,Cell3,0.6754148558999498
2100,Cell3,0.6733918106771276
2200,Cell3,0.6699072324045647
2300,Cell3,0.6679872304226007
2400,Cell3,0.6651830232248432
2500,Cell3,0.6631787555105219
2600,Cell3,0.6596375677156238
2700,Cell3,0.6583707894367439
2800,Cell3,0.6558547865798171
2900,Cell3,0.6519694142612814
3000,Cell3,0.6509774306129659
3100,Cell3,0.6487293266569452
3200,Cell3,0.6450933332983059
3300,Cell3,0.6427890836681472
3400,Cell3,0.6404848340379887
3500,Cell3,0.6381805844078301
3600,Cell3,0.6377480160822042
3700,Cell3,0.6358980555906101
3800,Cell3,0.6323420224158799
3900,Cell3,0.6317149177351412
4000,Cell3,0.6296603428366021
4100,Cell3,0.6266624752776828
4200,Cell3,0.6256675662566967
4300,Cell3,0.623802889529931
4400,Cell3,0.6218625686928474
4500,Cell3,0.6184472051369663
4600,Cell3,0.617397062827596
4700,Cell3,0.6156128341877746
4800,Cell3,0.6138286055479532
4900,Cell3,0.6113767277963612
5000,Cell3,0.6089248500447693
5100,Cell3,0.607559576722663
5200,Cell3,0.6044512359157004
5300,Cell3,0.6043593651956009
5400,Cell3,0.6025054696849569
5500,Cell3,0.5994989362373487
5600,Cell3,0.5996266429328138
5700,Cell3,0.5979470266185133
5800,Cell3,0.5956181045337796
5900,Cell3,0.5941606611276211
6000,Cell3,0.5922878485063985
6100,Cell3,0.5893378363478698
6200,Cell3,0.5888489304022828
6300,Cell3,0.5871626914231025
6400,Cell3,0.5848877045881585
6500,Cell3,0.5846155005204129
6600,Cell3,0.5829967982685884
6700,Cell3,0.5824711285638903
6800,Cell3,0.5826697890370449
6900,Cell3,0.5811245224090237
7000,Cell3,0.578701182313585
7100,Cell3,0.5802683002516004
7200,Cell3,0.5776091745887383
7300,Cell3,0.5759966217167188
7400,Cell3,0.5740759611343926
7500,Cell3,0.5730825077442627
7600,Cell3,0.5715622067833184
7700,Cell3,0.5698652392499695
7800,Cell3,0.5693134736610447
7900,Cell3,0.5678694270267266
8000,Cell3,0.5664618704545966
8100,Cell3,0.5658573030034043
0,Cell4,0.7340756158938327
100,Cell4,0.7256895677627597
200,Cell4,0.720520947044064
300,Cell4,0.7168993845363364
400,Cell4,0.7116089577103881
500,Cell4,0.7075381360146925
600,Cell4,0.7033674972372165
700,Cell4,0.7017227474914651
800,Cell4,0.6980057685756903
900,Cell4,0.6945155634312847
1000,Cell4,0.690917491549174
1100,Cell4,0.6871888481767409
1200,Cell4,0.6829508147644313
1300,Cell4,0.6789738121475968
1400,Cell4,0.6747946724375373
1500,Cell4,0.6709416836533016
1600,Cell4,0.667088694869066
1700,Cell4,0.663297386569758
1800,Cell4,0.6595060782704499
1900,Cell4,0.6558003460359124
2000,Cell4,0.6518358917402749
2100,Cell4,0.6491322951773173
2200,Cell4,0.644827599194441
2300,Cell4,0.6427345700249701
2400,Cell4,0.639779528362064
2500,Cell4,0.6379124570016852
2600,Cell4,0.6328442960173882
2700,Cell4,0.6313567584678583
2800,Cell4,0.6292342766774427
2900,Cell4,0.6244071835805257
3000,Cell4,0.6240241576349927
3100,Cell4,0.6210406372433505
3200,Cell4,0.6174298009076539
3300,Cell4,0.6166100994219124
3400,Cell4,0.613309970883974
3500,Cell4,0.6100098423460355
3600,Cell4,0.6090845318177422
3700,Cell4,0.606842239472212
3800,Cell4,0.6021429400557659
3900,Cell4,0.6022590640433417
4000,Cell4,0.6008081319033983
4100,Cell4,0.5965517044461637
4200,Cell4,0.595656476576443
4300,Cell4,0.5936652687461141
4400,Cell4,0.5919132492154948
4500,Cell4,0.588273065831058
4600,Cell4,0.5878162290155369
4700,Cell4,0.5861714960459052
4800,Cell4,0.5845267630762735
4900,Cell4,0.5834323355485314
5000,Cell4,0.5823379080207892
5100,Cell4,0.581233771613044
0,Cell5,0.735336070718255
100,Cell5,0.7263272216149664
200,Cell5,0.7216143905718282
300,Cell5,0.7181408943344795
400,Cell5,0.7134979226988899
500,Cell5,0.7099294524799297
600,Cell5,0.7067197517896663
700,Cell5,0.7044068227739054
800,Cell5,0.7010295867753294
900,Cell5,0.6982500120464782
1000,Cell5,0.6955576916850585
1100,Cell5,0.6925531943570523
1200,Cell5,0.6897775882498
1300,Cell5,0.6871135597869532
1400,Cell5,0.6845275284553018
1500,Cell5,0.6815857160951554
1600,Cell5,0.6786439037350089
1700,Cell5,0.6756851632869194
1800,Cell5,0.6727264228388298
1900,Cell5,0.6696039858041315
2000,Cell5,0.6665615613009338
2100,Cell5,0.664112144055915
2200,Cell5,0.6611156252944539
2300,Cell5,0.6590852626643066
2400,Cell5,0.655624570723609
2500,Cell5,0.653572031102383
2600,Cell5,0.6501803326333551
2700,Cell5,0.6486554560316095
2800,Cell5,0.6463729055045605
2900,Cell5,0.6430682540069614
3000,Cell5,0.6421361759560308
3100,Cell5,0.6398080244546915
3200,Cell5,0.6366188012020026
3300,Cell5,0.63556538229874
3400,Cell5,0.632358970851649
3500,Cell5,0.6291525594045582
3600,Cell5,0.6285798251580507
3700,Cell5,0.6264541623919169
3800,Cell5,0.6227429618448282
3900,Cell5,0.6222255140708279
4000,Cell5,0.620054371370107
4100,Cell5,0.6169927457990417
4200,Cell5,0.6160030105030722
4300,Cell5,0.6144130100238918
4400,Cell5,0.6124443360817294
4500,Cell5,0.609527583713162
4600,Cell5,0.6089826949116347
4700,Cell5,0.6071685028236999
4800,Cell5,0.6053543107357653
4900,Cell5,0.5307415871616076
5000,Cell5,0.4561288635874498
0,Cell6,0.7327947554512294
100,Cell6,0.7246838391335619
200,Cell6,0.7199780780561117
300,Cell6,0.7167605490247803
400,Cell6,0.7116736520202331
500,Cell6,0.7077770533721924
600,Cell6,0.7042491784341599
700,Cell6,0.7028095879125638
800,Cell6,0.6988143263731588
900,Cell6,0.6960256867891574
1000,Cell6,0.6928134515610181
1100,Cell6,0.6898064009492865
1200,Cell6,0.6868602393222861
1300,Cell6,0.6837786761748114
1400,Cell6,0.6808693882005513
1500,Cell6,0.677634696033554
1600,Cell6,0.6744000038665567
1700,Cell6,0.6717915187084911
1800,Cell6,0.6691830335504253
1900,Cell6,0.6660073376705458
2000,Cell6,0.6626077744153612
2100,Cell6,0.6600615587268948
2200,Cell6,0.6563749726963332
2300,Cell6,0.6544088374134284
2400,Cell6,0.6503692897362027
2500,Cell6,0.6484450826764289
2600,Cell6,0.6443100797990756
2700,Cell6,0.6435074922832472
2800,Cell6,0.6413314137706706
2900,Cell6,0.637279799374644
3000,Cell6,0.6366215899044223
3100,Cell6,0.6339956139734056
3200,Cell6,0.6301612188131205
3300,Cell6,0.6290775840845405
3400,Cell6,0.6260053406108637
3500,Cell6,0.6229330971371867
3600,Cell6,0.6224655750181377
3700,Cell6,0.6203313260135904
3800,Cell6,0.616164044285397
3900,Cell6,0.6159681421137119
4000,Cell6,0.6135031779021912
4100,Cell6,0.6096173818637356
4200,Cell6,0.6090230988884279
4300,Cell6,0.6073699490541111
4400,Cell6,0.6055915026358235
4500,Cell6,0.6015582612949865
4600,Cell6,0.5860442340937907
4700,Cell6,0.5862139186691911
4800,Cell6,0.5863836032445916
4900,Cell6,0.5827033776084832
5000,Cell6,0.5790231519723749
0,Cell7,0.7287460724569093
100,Cell7,0.7203477780451695
200,Cell7,0.7162137717431437
300,Cell7,0.7139550899355026
400,Cell7,0.710350491252628
500,Cell7,0.7076044991402621
600,Cell7,0.7051038567303703
700,Cell7,0.7050077744360792
800,Cell7,0.7022042278220113
900,Cell7,0.7001065200427925
1000,Cell7,0.6980250408537158
1100,Cell7,0.6959609703262059
1200,Cell7,0.694003233982137
1300,Cell7,0.6920996562801377
1400,Cell7,0.6902711085194838
1500,Cell7,0.6883664204414606
1600,Cell7,0.6864617323634372
1700,Cell7,0.6844600688062406
1800,Cell7,0.6824584052490439
1900,Cell7,0.6801674774869656
2000,Cell7,0.6779978592043389
2100,Cell7,0.6764506853791333
2200,Cell7,0.6739377403666313
2300,Cell7,0.672468531256646
2400,Cell7,0.6698150416123352
2500,Cell7,0.6683161981719089
2600,Cell7,0.6652058399162529
2700,Cell7,0.6639368706189983
2800,Cell7,0.6620301297966885
2900,Cell7,0.6589018480706211
3000,Cell7,0.6579000267184718
3100,Cell7,0.6559158499218208
3200,Cell7,0.6528250279489034
