dataset,variant,test_cell,seed,observed_mae_Ah,observed_rmse_Ah,observed_r2,recursive_mae_Ah,recursive_rmse_Ah,recursive_r2,observed_rul_ae_cycles,observed_rul_re,recursive_rul_ae_cycles,recursive_rul_re
TJU,omni,CY25_1,42,0.0017463996,0.0024314943,0.9991545672,0.0129953927,0.0147895567,0.9766461589,2.0,0.0071127946,16.3333333,0.0362373737
TJU,adaptive,CY25_1,42,0.0015813960,0.0025614882,0.9990379828,0.0756403549,0.0902268358,0.1506658753,0.0,0.0,107.3333333,0.3162037037
TJU,uniform,CY25_1,42,0.0019412549,0.0030630578,0.9986248579,0.1765328587,0.2792146650,-7.5099813288,0.0,0.0,64.0,0.2457070707
TJU,residual,CY25_1,42,0.0011579752,0.0018282035,0.9995093274,0.0121505074,0.0155384175,0.9746287588,1.0,0.0035563973,22.3333333,0.0585227273
NASA,omni,B0005,42,0.0080449790,0.0121172622,0.7615973102,0.0228288754,0.0284168755,-0.1549262238,0.0,0.0,2.0,0.0769230769
NASA,adaptive,B0005,42,0.0125018854,0.0170414256,0.5268290422,0.0227245718,0.0278761109,-0.2190500295,0.6666667,0.0683760684,4.0,0.1965811966
NASA,uniform,B0005,42,0.0123415105,0.0150045100,0.7394802774,0.0422112241,0.0444991806,-0.1850325932,2.0,0.2051282051,14.6666667,1.0341880342
NASA,residual,B0005,42,0.0072827511,0.0108199919,0.8285194302,0.0230166274,0.0260267695,0.4989604523,0.6666667,0.0683760684,7.0,0.3974358974
TJU,adaptive_anneal_fix,CY25_1,42,0.0016466799,0.0026294810,0.9989780973,0.1993922848,0.3043353498,-9.0206933840,0.0,0.0,23.0,0.1277777778
TJU,residual_anneal_fix,CY25_1,42,0.0013553760,0.0019491580,0.9994642600,0.0634969029,0.0756126140,0.3972280330,1.0,0.0035563973,93.6666667,0.2806818182
TJU,adaptive_hard_budget_fix,CY25_1,42,0.0030858250,0.0041950190,0.9974051230,0.0293168500,0.0348575980,0.8753711600,5.0,0.0177819870,42.5,0.1628787879
TJU,residual_hard_budget_fix,CY25_1,42,0.0027414416,0.0031872094,0.9985418171,0.3986955628,0.4845523470,-24.5076057074,4.0,0.0142255892,,
NASA,adaptive_anneal_fix,B0005,42,0.0101810909,0.0124559609,0.8123611227,0.0444456812,0.0472426982,-0.3269528320,1.3333333,0.1367521368,17.6666667,1.1495726496
NASA,residual_anneal_fix,B0005,42,0.0071078517,0.0105749545,0.8368671398,0.0302934525,0.0338564776,0.2437806289,0.6666667,0.0683760684,9.6666667,0.4572649573
NASA,adaptive_hard_budget_fix,B0005,42,0.0115578220,0.0154251682,0.6804247485,0.0259316166,0.0289651644,0.4392144525,1.3333333,0.1367521368,7.0,0.3547008547
NASA,residual_hard_budget_fix,B0005,42,0.0081716105,0.0116053688,0.8051400104,0.0760871437,0.0927295946,-4.4008167324,0.6666667,0.0683760684,5.3333333,0.3760683761
TJU,residual_rollout_obj,CY25_1,42,0.0026250813,0.0042536028,0.9973529717,0.1096540696,0.1359332908,-1.1464486196,1.0,0.0035563973,131.6666667,0.4058291246
TJU,residual_rollout_w025,CY25_1,42,0.0013179465,0.0020687459,0.9993752075,0.0638470206,0.0770829005,0.3943536665,1.0,0.0035563973,93.3333333,0.2706228956
TJU,residual_rollout_w050,CY25_1,42,0.0056943116,0.0068409479,0.9935110284,0.1292175931,0.1490292787,-1.4614174042,3.0,0.0106691919,149.6666667,0.4535353535
NASA,residual_rollout_obj,B0005,42,0.0161741392,0.0203732363,0.4779837431,0.0362527417,0.0411847542,0.0017376702,3.3333333,0.3418803419,6.3333333,0.3290598291
NASA,residual_rollout_w025,B0005,42,0.0088677231,0.0121936716,0.7908353310,0.0249602881,0.0278675020,0.4655602491,0.6666667,0.0683760684,6.3333333,0.3290598291
NASA,residual_rollout_w050,B0005,42,0.0116463873,0.0154958815,0.6795063959,0.0268255704,0.0298446564,0.4248808301,1.3333333,0.1367521368,7.6666667,0.3803418803
TJU,adaptive_aligned_region_restore,CY25_1,42,0.0020374390,0.0026002580,0.9990258611,0.0454197650,0.0539753089,0.6981950002,3.0,0.0106691919,56.0,0.3111111111
NASA,adaptive_aligned_region_restore,B0005,42,0.0095044352,0.0121029932,0.8160607465,0.0385025393,0.0409105658,-0.0041480351,1.3333333,0.1367521368,11.0,0.6794871795
PANASONIC,adaptive_aligned_region_restore,Cell01,42,0.0035918327,0.0110221175,0.9946338151,0.2998809409,0.3384944889,-3.6465186703,0.0,0.0,82.3333333,0.4297411766
